GeneName,RPKM          Oligodendrocytes div1                  1,RPKM          Oligodendrocytes div1                    2,RPKM          Oligodendrocytes div1                    3,RPKM          Oligodendrocytes div2.5                    1,RPKM          Oligodendrocytes div2.5                    2,RPKM          Oligodendrocytes div2.5                    3,RPKM          Oligodendrocytes div4                    1,RPKM          Oligodendrocytes div4                    2,RPKM          Oligodendrocytes div4                    3,RPKM          adult microglia 1,RPKM          adult microglia 2,RPKM          adult microglia 3,RPKM          Astrocytes 1,RPKM          Astrocytes 2,RPKM          Astrocytes 3,RPKM          cortical neurons div05                  1,RPKM          cortical neurons div05                  2,RPKM          cortical neurons div05                  3,RPKM          cortical neurons div10                  1,RPKM          cortical neurons div10                  2,RPKM          cortical neurons div10                  3
Maml1,2.040541,1.738203,1.366578,2.061976,1.482848,1.372534,1.524336,1.261674,1.056896,1.158231,1.829368,1.400137,1.425125,1.60998,1.520664,0.5439409,0.5290309,0.8079203,0.4843795,0.5652786,0.5850559
Cacna2d1,2.039196,1.318157,1.473902,1.705842,1.95526,1.756951,3.113728,2.061755,1.790947,0.2322877,0.1921789,0.10838,1.011849,1.218743,1.528264,17.3331,12.48787,11.54812,17.38881,21.1584,21.55057
2610002M06Rik,2.039045,2.684826,2.164939,1.959954,2.089919,2.319331,2.575849,2.664997,2.489668,2.602184,1.540129,1.891223,2.055275,1.935407,2.216318,4.251118,3.972559,4.799664,4.604134,5.856677,5.662197
Pgap3,2.03726,2.363856,2.191036,1.57427,4.801748,3.027258,2.424572,1.712459,2.210245,2.411678,2.514023,1.856634,2.251137,0.7592006,1.625387,0.6921434,1.090537,2.775726,1.613726,2.718934,1.46185
Lurap1,2.035664,1.690698,1.595076,2.005622,0.9947047,1.384468,3.294835,4.545156,5.005964,0.4096641,0.6100703,NaN,4.971115,6.263918,5.521988,1.175722,0.8233159,0.7858398,2.05589,1.759454,2.897065
Spred1,2.03546,2.213788,2.869161,3.58111,2.936453,1.977613,1.961015,2.337275,2.298427,3.706114,3.098459,3.685898,3.095256,2.894798,3.474373,1.119623,1.372056,1.403145,1.223621,1.780222,1.280887
2210408F21Rik,2.034951,1.848553,1.107304,1.670767,2.237302,1.482839,2.264405,2.726138,1.117011,6.39876,6.098566,8.240015,5.733893,7.827155,6.653636,NaN,NaN,0.2454889,1.498561,1.923729,2.327183
1700030K09Rik,2.034741,1.491116,1.771503,1.572324,1.286681,1.744336,1.549808,2.565513,1.366556,1.204348,0.597837,0.3371526,1.124177,2.166463,2.435067,2.212121,2.057357,1.50166,2.316864,1.422443,2.190064
Wdr20a,2.034741,2.609453,1.250473,2.456757,2.22245,2.209493,1.549808,2.244824,1.892154,0.8430439,1.195674,1.180034,2.698025,3.033049,2.898889,0.5530303,1.21021,1.732684,1.611732,1.810382,0.973362
Slc16a1,2.034606,1.839723,0.857122,2.640442,1.988376,1.020275,3.240008,3.927319,4.496109,0.9906079,0.9179081,1.109267,10.66447,7.365486,8.965388,0.606509,0.5308955,0.6967537,0.3314228,0.4963621,1.000769
