gene_symbol,N1,N2,OPC1,OPC2,GC1,GC2,MOG1,MOG2,A1,A2,MGL1,MGL2,Endo1,Endo2
1600012H06Rik,9.338749,7.108144,8.840398,8.061695,8.483511,7.658202,8.346771,7.513607,13.175802,12.017942,4.578767,4.397818,6.322954,6.434466
1600014C10Rik,3.97609,3.374178,3.288869,3.01548,2.457288,3.122608,1.195916,1.151454,1.646756,1.270597,6.225559,9.85478,4.737902,4.57067
1600014C23Rik,0.1,0.1,0.583644,0.1,0.149078,0.1,0.1,0.157678,1.510686,1.316853,0.1,0.1,0.1,0.1
1600014K23Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600015I10Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600016N20Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600019K03Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600020E01Rik,7.063571,6.534387,7.047879,8.600593,3.94793,5.205641,2.506635,4.536821,10.820097,11.412931,5.436204,4.308191,8.434734,9.46014
1600021P15Rik,9.413449,10.423533,23.495624,27.777522,12.107958,17.703851,2.822537,4.124532,4.093096,6.899204,0.571863,0.654281,2.245846,2.18367
1600025M17Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600027N09Rik,4.840039,4.37261,6.507859,5.382089,4.729079,5.468431,1.187102,1.793446,6.296637,5.410547,4.168063,3.435157,5.255146,5.729124
1600029D21Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.255175,0.31736,0.1,0.1
1600029I14Rik,0.134248,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600029O15Rik,1.183432,1.179347,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700001C02Rik,0.1,0.110782,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.358679,0.1,0.1,0.1,0.102839
1700001C19Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.776841,1.000061,1.177432,1.567622
1700001F09Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700001G11Rik,0.230525,0.279787,0.298422,0.355486,0.207924,0.186285,0.173119,0.283319,0.135099,0.216694,0.1,0.1,0.238563,0.1
1700001G17Rik,0.323545,0.449482,0.572618,0.958309,0.336932,0.1,0.341867,0.123356,0.160385,0.155342,0.1,0.1,0.215517,0.399813
1700001J03Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.191394,0.408818,0.1,0.1,0.1,0.126776
1700001J11Rik,0.1,0.274959,0.176577,0.101206,0.154222,0.289766,0.1,0.1,0.126048,0.282214,0.124161,0.1,0.550072,0.475994
1700001K19Rik,0.1,0.202136,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700001K23Rik,1.551463,0.895998,0.1,0.148426,0.1,0.1,0.1,0.1,0.1,0.1,0.390764,0.370272,0.188254,0.138416
1700001L05Rik,0.425568,0.621752,0.1,0.181165,0.1,0.1,0.1,0.1,0.1,0.1,0.535503,0.370939,0.1,0.1
1700001L19Rik,1.817227,1.243153,0.285159,0.737487,0.1,0.1,0.1,0.279507,0.1,0.323613,0.139325,0.114636,0.135874,0.1
1700001O22Rik,0.815986,0.552252,2.327252,4.170808,0.947182,0.576395,0.301767,1.120383,2.1512,2.076014,0.364451,0.182231,0.559646,0.986229
1700001P01Rik,0.1,0.274506,0.1,0.166944,3.195142,3.110411,2.770301,3.613092,0.1,0.1,0.1,0.1,0.379507,0.310953
1700003E16Rik,2.26458,2.50629,0.47173,1.855581,0.327773,0.384912,0.615509,1.678858,0.116488,0.644113,1.333646,2.002495,0.1,0.1
1700003F12Rik,0.270086,0.288221,0.370205,0.221182,0.1,0.1,0.1,0.1,0.716943,0.282594,5.895049,5.964308,0.294131,0.195439
1700003G13Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003G18Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003H04Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003L19Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003M02Rik,0.299465,0.246417,0.1,0.1,0.1,0.1,0.1,0.1,0.193519,0.942527,0.1,0.1,0.486732,0.213576
1700003M07Rik,0.346067,0.666824,2.536296,0.706171,0.363928,0.261661,0.122425,0.293623,5.81312,4.677327,0.1,0.1,0.1,0.1
1700006A11Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700006E09Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007B14Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007E06Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007F19Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007G11Rik,0.117473,0.1,0.109684,0.259563,0.226728,0.1,0.1,0.1,0.1,0.77022,0.1,0.1,0.1,0.196463
1700007I08Rik,0.14428,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.182163,0.178855,0.1,0.1,0.1,0.1
1700007K09Rik,0.1,0.290588,0.119707,0.1,0.365611,0.1,0.1,0.1,0.898638,0.419232,0.1,0.239063,0.1,0.113438
1700007K13Rik,0.371952,0.456744,0.194339,0.152872,0.1,0.1,0.1,0.290334,2.448861,2.196648,0.1,0.1,0.168241,0.37494
1700007P06Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008A04Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008F21Rik,0.1,0.107945,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008I05Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008J07Rik,1.761646,1.14217,1.402569,1.574687,1.476003,1.064547,0.866735,0.752435,1.306178,1.225627,0.733892,0.639871,0.609441,0.674566
1700008K24Rik,0.178355,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008O03Rik,0.568349,0.63073,0.177823,0.210849,0.424708,0.377263,0.281173,0.45107,0.293895,0.109013,0.112154,0.1,0.1,0.1
